id,filename,duration,phrase
1,121-funny_in_asl.mp4,4.79,funny
2,038-you_prefer_car_bodyshift-or_truck.mp4,6.01,you prefer car or truck
3,127-dont_know_in_asl.mp4,5.8,I don't know
4,100-cell_phone_in_asl.mp4,4.99,cell phone
5,145-trust_in_asl.mp4,6.02,trust
6,046-you_like_dance_you.mp4,3.17,you like dance
7,060-movie_star_your_favorite_who.mp4,4.94,who is your favorite actor?
8,057-scissors_can_you-lend-me.mp4,3.97,can you lend me scissors?
9,108-what_do_you_do_for_work_in_asl.mp4,6.7,what do you do for work?
10,133-how_did_you_get_here_in_asl.mp4,7.02,how did you get here?
11,091-morning-all_all-morning.mp4,2.27,morning all
12,018-nyb-none_of_your_business.mp4,3.15,none of your business
13,036-how-much-1-hand-version.mp4,2.48,how much
14,106-arrive_in_asl.mp4,5.55,arrive
15,124-explain_in_asl.mp4,4.72,explain
16,061-you_look-like_your_mother.mp4,4.67,you look like your mother
17,004-school.mp4,2.81,school
18,104-bluetooth_in_asl.mp4,4.95,bluetooth
19,078-wake-up.mp4,2.77,wake up
20,097-youre_welcome_in_asl.mp4,6.69,you're welcome
21,034-you_like_cook.mp4,2.87,do you like to cook?
22,112-holiday_in_asl.mp4,6.33,holiday
23,109-idiom_fall_head_over_heels_in_love_in_asl.mp4,7.1,fall head over heels in love
24,007-what.mp4,2.11,what
25,120-happen_in_asl.mp4,5.14,happen
26,068-wish-desire.mp4,1.82,wish or desire
27,003-thank-you.mp4,1.94,thank you
28,087-5-dollar_you-mind_you-loan-me.mp4,5.17,would you mind lend me money?
29,071-girlfriend.mp4,2.85,girlfriend
30,047-your_resume_how_many_page.mp4,4.34,how many pages is your resume?
31,101-change_in_asl.mp4,5.14,change
32,098-is_that_true_in_asl.mp4,4.17,is that true?
33,072-dad.mp4,2.55,dad
34,021-you_live_where_where_do_you_live.mp4,3.82, where do you live?
35,029-college_you_graduate_when.mp4,5.77,when you graduate college?
36,096-can_you_read_lips_in_asl.mp4,7.7,can you read lips?
37,026-call-by-phone_called_call-you_hearing_version.mp4,2.2,call by phone
38,114-i_me_in_asl.mp4,6.82,I
39,050-dont_mind.mp4,2.55,don't mind
40,094-hello_in_asl.mp4,4.99,hello
41,122-from_in_asl.mp4,6.09,from
42,139-stupid2_in_asl.mp4,6.59,stupid
43,020-you_married.mp4,2.97,are you married?
44,052-your_last_name_how_spell.mp4,5.94,how to spell your last name?
45,048-cat_got_your_tongue.mp4,2.51,cat got your tongue
46,013-ladywoman.mp4,2.45,lady or woman
47,107-america_in_asl.mp4,5.95,America
48,044-you_haircut_how_often.mp4,3.17,how often you cut your hair?
49,113-hug_in_asl.mp4,5.23,hug
50,085-die_two_hand_version.mp4,3.62,die
51,028-past_weekend_what-do_you_what_did_you_do_last_weekend.mp4,4.31,what did you do past weekend?
52,066-type_fast_can_you.mp4,5.17,can you type fast?
53,049-come-here-1-hand-version.mp4,2.72,come here
54,128-dont_care_in_asl.mp4,5.32,I don't care
55,015-man.mp4,4.02,man
56,075-bored.mp4,2.11,bored
57,019-you_sad_why.mp4,4.41, why are you sad?
58,143-walking_in_asl.mp4,8.09,walking
59,119-help_in_asl.mp4,8.63,help
60,042-you_feel_stupid_sometimes.mp4,5.24,do you feel stupid sometimes
61,010-yeah_yes.mp4,2,yes
62,037-your_city_have_subway.mp4,5.41,does your city have subway
63,055-sew_you_know_how.mp4,4.6,do you know sewing?
64,090-you_think_today_n-i-c-e.mp4,5.41,do you think today is nice?
65,147-traffic_in_asl.mp4,5.65,traffic
66,095-are_you_hungry_in_asl.mp4,6.67,are you hungry
67,017-house.mp4,2.52,house
68,146-up_until_now_in_asl.mp4,7.39,up until now
69,105-beautiful_in_asl.mp4,5.73,beautiful
70,073-boyfriend.mp4,3.2,boyfriend
71,103-birthday2_in_asl.mp4,6.29,birthday
72,092-againrepeat.mp4,3,repeat
73,099-whats_wrong_in_asl.mp4,2.55,what's wrong
